iter	AUC	Logloss
0	0.9297123253	0.6799516383
1	0.9307232797	0.664998498
2	0.9307232797	0.6527377586
3	0.9313821793	0.6419871732
4	0.9313822091	0.6304902069
5	0.9313822091	0.6174418684
6	0.9313821197	0.6077915179
7	0.9314057827	0.5966051371
8	0.9315404594	0.585838326
9	0.931571126	0.5771690453
10	0.931571126	0.5687754595
11	0.931576103	0.5597790848
12	0.931576103	0.5519287586
13	0.9318488836	0.5427913372
14	0.9318488836	0.5347201793
15	0.9318453968	0.5262524292
16	0.9318453968	0.5194819762
17	0.9318453968	0.5122048863
18	0.9318453968	0.505201724
19	0.9318453968	0.4990927057
20	0.9318453968	0.4931948333
21	0.9320253432	0.487446845
22	0.9320253432	0.4812944876
23	0.9320253432	0.4753422114
24	0.9320253432	0.4696143727
25	0.9320253432	0.4646183153
26	0.9320368171	0.4592584706
27	0.9320368171	0.4540864406
28	0.9320368171	0.448114227
29	0.9320368171	0.4433338756
30	0.9320368171	0.4382770515
31	0.9320368171	0.433821673
32	0.9320368767	0.4295196784
33	0.9320368171	0.4257768862
34	0.9320368767	0.4217472991
35	0.9320369065	0.4178678436
36	0.9320369065	0.4141204205
37	0.9320369065	0.4101398992
38	0.9320369065	0.4066409516
39	0.9320369065	0.4029480737
40	0.9320349097	0.400013631
41	0.9320349097	0.3971564635
42	0.9320349097	0.3940863826
43	0.9320346117	0.3911150345
44	0.9320346117	0.3885168414
45	0.9320211411	0.3857253543
46	0.9320211411	0.383034933
47	0.9320211411	0.3801657111
48	0.9320195317	0.3771158152
49	0.9320195317	0.3749281422
50	0.9320195317	0.3723369131
51	0.9320195317	0.3700665917
52	0.9320195317	0.3678679602
53	0.9320195317	0.3659447056
54	0.9320195317	0.363661128
55	0.9320195317	0.3616608102
56	0.9320195317	0.3597241933
57	0.932020247	0.357857428
58	0.932020247	0.355638647
59	0.932020247	0.3538868048
60	0.932020247	0.352347593
61	0.932020247	0.3507029675
62	0.932020247	0.3491075138
63	0.932020247	0.3476993094
64	0.932020247	0.3460338627
65	0.932019949	0.3442494984
66	0.9320290089	0.342839385
67	0.9320329428	0.3414683688
68	0.9320329428	0.3401462417
69	0.9320327342	0.3389745291
70	0.9320327342	0.3377168451
71	0.9320327342	0.3364941577
72	0.9320327342	0.3351791007
73	0.9320327342	0.3341358501
74	0.9320324659	0.3327545824
75	0.9320343435	0.3316762646
76	0.9320343435	0.3306253784
77	0.9320343435	0.3293645836
78	0.932041198	0.328467965
79	0.9320410788	0.3274064385
80	0.9320409	0.3263780703
81	0.9320409	0.3254697509
82	0.9320407212	0.3244906253
83	0.9320407212	0.3236349067
84	0.932040602	0.3228018829
85	0.932040602	0.3220779139
86	0.932040602	0.3211958949
87	0.932040602	0.3203509581
88	0.9320425391	0.3195290695
89	0.9320425391	0.3188723717
90	0.9320425689	0.3181725468
91	0.9320425689	0.317319126
92	0.9320435822	0.3166553935
93	0.9320435822	0.3160137548
94	0.9320457578	0.3154751615
95	0.9320457578	0.3147931884
96	0.932043761	0.3140613364
97	0.932043761	0.3133306863
98	0.932043761	0.3128185348
99	0.932043761	0.3123189326
100	0.9320310652	0.3117841218
101	0.9320316613	0.3113085576
102	0.9320316613	0.3106604499
103	0.9320316613	0.3100336935
104	0.9320313931	0.3094948881
105	0.9320314825	0.3090702987
106	0.9320314825	0.3085576877
107	0.9320314825	0.30811408
108	0.9320319593	0.3077210228
109	0.9320326746	0.3072989786
110	0.9320331812	0.3068879636
111	0.9320301712	0.306522833
112	0.9320301712	0.3061295991
113	0.9320301712	0.3057461925
114	0.9320301712	0.3052649369
115	0.9320301414	0.3049369592
116	0.9320410788	0.3046306157
117	0.9320409894	0.3043156821
118	0.9320409894	0.3039287405
119	0.9320450723	0.303503232
120	0.9320452511	0.3030911919
121	0.9320451915	0.3028083562
122	0.9320451915	0.3025055123
123	0.9320451617	0.3022468914
124	0.9320449829	0.301879569
125	0.9320449829	0.3015097722
126	0.9320449829	0.3011642962
127	0.9320478439	0.3008981103
128	0.9320449829	0.3006620427
129	0.9320478439	0.3004407161
130	0.9320478439	0.3001905438
131	0.9320478439	0.2999096524
132	0.9320478737	0.2995967337
133	0.9320442975	0.2992918396
134	0.9320442975	0.2990683212
135	0.9320442975	0.2988767947
136	0.9320442975	0.2986025844
137	0.9320442975	0.2984195772
138	0.9320442975	0.2982166326
139	0.9320462644	0.2980175058
140	0.9320462644	0.2977582485
141	0.9320464432	0.2975059552
142	0.9320464432	0.2972607673
143	0.9320464432	0.2970811537
144	0.9320464432	0.2969257903
145	0.9320464432	0.2967698966
146	0.9320462644	0.2965484639
147	0.9320462644	0.2963993574
148	0.9320464432	0.2961832979
149	0.9320464432	0.2959809012
150	0.932048589	0.2957804841
151	0.9320580065	0.2956455884
152	0.9320602417	0.295501042
153	0.9320580065	0.2953083666
154	0.9320580065	0.2951228672
155	0.9320580065	0.2949896506
156	0.9320597947	0.294869973
157	0.9320600033	0.2946944423
158	0.9320600033	0.2945221639
159	0.9320598245	0.2944142755
160	0.9320594668	0.2943081193
161	0.9320608974	0.294201539
162	0.9320608974	0.2940432768
163	0.9320597351	0.2939419989
164	0.9320608974	0.2938422588
165	0.9320608974	0.2936930285
166	0.9320608974	0.2935479343
167	0.9320625961	0.2934245096
168	0.932062	0.2933263248
169	0.9320625961	0.2932293597
170	0.9320614636	0.2931429818
171	0.9320614636	0.2930187794
172	0.9320614636	0.2928908123
173	0.9320614636	0.2927635167
174	0.9320614636	0.2926486821
175	0.9320681989	0.2925471038
176	0.9320681989	0.2924313677
177	0.9320681989	0.2923175406
178	0.9320683479	0.2922452674
179	0.9320684671	0.2921547536
180	0.9320684969	0.2920666083
181	0.9320684969	0.2919620958
182	0.9320684969	0.2918616133
183	0.932068646	0.2917966576
184	0.932068646	0.2916980663
185	0.932068646	0.2916312724
186	0.9320664704	0.2915795376
187	0.9320664704	0.2915204677
188	0.9320715964	0.2914438465
189	0.9320735931	0.291363814
190	0.9320717752	0.2913076958
191	0.9320751429	0.2912653111
192	0.9320751429	0.2911810542
193	0.932076931	0.2911128463
194	0.932076931	0.2910324603
195	0.932076931	0.2909777915
196	0.932076633	0.2909113687
197	0.932076633	0.2908422594
198	0.9320768118	0.2907796898
199	0.9320768118	0.2907328333
200	0.9320787787	0.2906668701
201	0.9322511852	0.290521334
202	0.9322514534	0.2904617868
203	0.9322514534	0.2903971846
204	0.9322502315	0.2903371956
205	0.9322645068	0.2902803881
206	0.9322645068	0.290220894
207	0.9322645068	0.2901739844
208	0.9322639108	0.2901219315
209	0.9322639108	0.2900654952
210	0.9322647154	0.2900197875
211	0.9322647154	0.2899715171
212	0.9322676361	0.2899182269
213	0.9322680235	0.2898770264
214	0.9322680235	0.2898494003
215	0.9322678745	0.2898215445
216	0.9322678745	0.2897813338
217	0.9322654009	0.2897382067
218	0.932266295	0.2897059675
219	0.9322655797	0.289664007
220	0.9322664738	0.2896303007
221	0.9322651625	0.2895924585
222	0.9322642684	0.2895534321
223	0.9322642684	0.28952091
224	0.9322651029	0.2894860725
225	0.9322653413	0.2894557776
226	0.9322653413	0.2894363174
227	0.9322652519	0.2894015329
228	0.9322652519	0.2893700537
229	0.9322651923	0.2893374433
230	0.9322651923	0.2893062292
231	0.9322651923	0.2892731946
232	0.9322651923	0.2892415386
233	0.9322641194	0.2892137004
234	0.9322641194	0.2891861451
235	0.9322641194	0.2891589255
236	0.9322641194	0.2891333321
237	0.9322644174	0.2891143668
238	0.9322644174	0.2890901697
239	0.9322644174	0.2890567286
240	0.9322645366	0.2890298625
241	0.9322659075	0.2889989312
242	0.9322659075	0.2889729489
243	0.9322656095	0.2889520747
244	0.9322651923	0.2889320666
245	0.9322651923	0.288907516
246	0.9322651923	0.2888868186
247	0.9322658181	0.2888639294
248	0.9322649837	0.2888407751
249	0.9322650731	0.2888137323
250	0.9322657585	0.2887859649
251	0.9322663546	0.2887667698
252	0.9322655201	0.2887461961
253	0.9322655201	0.2887208854
254	0.9322666824	0.2887043239
255	0.9322666824	0.2886844042
256	0.9322666824	0.2886605076
257	0.932266742	0.2886417544
258	0.9322667718	0.2886250868
259	0.9322667718	0.2886067048
260	0.9322659373	0.2885882521
261	0.9322659373	0.2885710543
262	0.9322659373	0.2885544751
263	0.9322657883	0.2885393806
264	0.9322657883	0.2885244806
265	0.9322660863	0.28851483
266	0.9322661161	0.2885015914
267	0.9322661161	0.2884922413
268	0.932266295	0.2884800809
269	0.9322666228	0.2884662237
270	0.9322666228	0.2884512706
271	0.9322679341	0.2884360701
272	0.9322680533	0.2884220185
273	0.9322680533	0.2884084794
274	0.9322681129	0.2883902211
275	0.9322680831	0.2883782905
276	0.9322682321	0.2883662891
277	0.9322682619	0.2883540227
278	0.9322678447	0.2883443544
279	0.9322678447	0.28833709
280	0.9322678447	0.2883249119
281	0.9322678447	0.2883134408
282	0.9322678447	0.288306088
283	0.9322678447	0.2882898977
284	0.9322676659	0.2882763409
285	0.9322676659	0.2882671499
286	0.9322679639	0.2882569161
287	0.9322679639	0.2882416095
288	0.9322679639	0.2882319413
289	0.9322679639	0.288221566
290	0.9322704971	0.2882054641
291	0.9322704077	0.2881973159
292	0.9322704077	0.2881505655
293	0.9322703779	0.2881402963
294	0.9322704077	0.2881312467
295	0.9322704077	0.2881229571
296	0.9322703779	0.2881132712
297	0.9322704077	0.2881069789
298	0.9322704077	0.2881014466
299	0.9322705567	0.288058673
300	0.9322705567	0.288053724
301	0.9322705269	0.2880469898
302	0.9322705567	0.2880409803
303	0.9322705567	0.2880370918
304	0.9322706759	0.2880279538
305	0.9322709739	0.2880207071
306	0.9322709739	0.2880132836
307	0.9322709739	0.2880029083
308	0.9322709739	0.2879985956
309	0.9322715998	0.2879948485
310	0.9322716594	0.2879887506
311	0.9322716594	0.287985304
312	0.9322716594	0.287980408
313	0.9322715402	0.2879425481
314	0.9322714508	0.2879066855
315	0.9322714508	0.2879021607
316	0.9322714508	0.2878930227
317	0.9322716892	0.2878877555
318	0.9322716892	0.2878793599
319	0.93227157	0.2878732443
320	0.93227157	0.2878665455
321	0.93227157	0.2878612607
322	0.93227157	0.2878581145
323	0.93227157	0.287854986
324	0.932271868	0.2878451411
325	0.9322719872	0.2878367985
326	0.9322719872	0.2878339528
327	0.9322722852	0.2878290568
328	0.9322722852	0.2878208026
329	0.9322722852	0.287816808
330	0.9322722554	0.2878134497
331	0.9322724342	0.2878110106
332	0.9322727025	0.287807723
333	0.9322725534	0.2878036578
334	0.9322728217	0.2877954035
335	0.9322745204	0.2877887401
336	0.9322745204	0.2877843036
337	0.9322745204	0.2877772866
338	0.9322747886	0.2877751303
339	0.9322747886	0.2877721255
340	0.9322739542	0.2877692445
341	0.9322739542	0.2877628992
342	0.9322739542	0.2877596293
343	0.9322740436	0.2877564301
344	0.9322740436	0.2877539203
345	0.9322740436	0.2877517286
346	0.9322741032	0.2877486885
347	0.9322741032	0.2877456307
348	0.9322741032	0.2877418129
349	0.9322741032	0.2877358564
350	0.9322741032	0.2877342303
351	0.9322741032	0.2877315083
352	0.9322741032	0.2877036525
353	0.9322741032	0.2877013724
354	0.9322737753	0.2876988979
355	0.9322737753	0.2876966885
356	0.9322737753	0.287694921
357	0.9322737753	0.2876921814
358	0.9322737753	0.2876903962
359	0.9322742224	0.2876637953
360	0.9322736561	0.2876577328
361	0.9322737753	0.2876555057
362	0.9322737753	0.2876537382
363	0.9322733581	0.2876521828
364	0.9322753549	0.2876466506
365	0.9322753549	0.287644883
366	0.9322750568	0.2876430448
367	0.9322750568	0.2876411536
368	0.9322752357	0.2876396159
369	0.9322743118	0.2876382019
370	0.932273984	0.2876324398
371	0.9322753549	0.2876278267
372	0.9322755933	0.2876265894
373	0.9322757125	0.2876211278
374	0.9322757125	0.287619378
375	0.9322757125	0.2876181407
376	0.9322757125	0.2876165853
