iter	Passed	Remaining
0	340	340158
1	634	316736
2	901	299539
3	1164	290014
4	1472	292986
5	1706	282708
6	1978	280658
7	2182	270587
8	2418	266342
9	2836	280818
10	3179	285842
11	3528	290535
12	3799	288472
13	4063	286192
14	4360	286310
15	4717	290121
16	5061	292679
17	5380	293548
18	5714	295033
19	6050	296484
20	6380	297454
21	6724	298938
22	7053	299618
23	7251	294906
24	7567	295126
25	7913	296463
26	8109	292224
27	8509	295409
28	8892	297752
29	9229	298431
30	9503	297060
31	9845	297816
32	10136	297034
33	10492	298116
34	10843	298964
35	11017	295037
36	11207	291701
37	11570	292907
38	11921	293770
39	12256	294146
40	12562	293847
41	12866	293483
42	13016	289683
43	13354	290154
44	13659	289884
45	14022	290804
46	14351	290998
47	14731	292171
48	15050	292096
49	15207	288949
50	15602	290327
51	15897	289815
52	16275	290800
53	16428	287800
54	16735	287545
55	17149	289093
56	17491	289384
57	17865	290155
58	18199	290267
59	18567	290891
60	18853	290217
61	19128	289400
62	19361	287958
63	19679	287810
64	19855	285616
65	20029	283444
66	20172	280913
67	20340	278788
68	20678	279010
69	20934	278135
70	21228	277762
71	21366	275394
72	21674	275242
73	21855	273484
74	22219	274045
75	22435	272772
76	22605	270968
77	22765	269105
78	23067	268929
79	23404	269146
80	23725	269181
81	23925	267845
82	24260	268037
83	24559	267820
84	24842	267421
85	25177	267580
86	25385	266405
87	25710	266454
88	25940	265526
89	26265	265573
90	26493	264640
91	26809	264598
92	27195	265227
93	27539	265433
94	27861	265413
95	28057	264203
96	28424	264610
97	28578	263035
98	28881	262849
99	29032	261289
100	29378	261499
101	29695	261436
102	29870	260137
103	30198	260168
104	30438	259450
105	30776	259566
106	31169	260131
107	31367	259070
108	31538	257804
109	31827	257511
110	32150	257492
111	32481	257531
112	32803	257491
113	33172	257812
114	33329	256490
115	33624	256244
116	33925	256035
117	34111	254972
118	34489	255336
119	34806	255248
120	35142	255294
121	35305	254084
122	35637	254099
123	35993	254278
124	36316	254213
125	36663	254315
126	36983	254226
127	37286	254014
128	37626	254048
129	37912	253724
130	38250	253739
131	38643	254112
132	38932	253791
133	39249	253656
134	39460	252840
135	39786	252759
136	40142	252871
137	40501	252988
138	40809	252784
139	41162	252855
140	41530	253011
141	41906	253206
142	42329	253682
143	42883	254921
144	43518	256611
145	44000	257370
146	44397	257625
147	44813	257979
148	45190	258103
149	45595	258371
150	45966	258449
151	46398	258856
152	46735	258725
153	47134	258935
154	47509	259004
155	47851	258890
156	48220	258918
157	48610	259049
158	48981	259079
159	49356	259123
160	49704	259019
161	50081	259061
162	50508	259360
163	50845	259187
164	51163	258916
165	51519	258837
166	51824	258499
167	52230	258665
168	52591	258602
169	52946	258504
170	53277	258285
171	53664	258338
172	53972	258005
173	54364	258074
174	54721	257970
175	55075	257855
176	55489	258010
177	55809	257728
178	56191	257729
179	56599	257841
180	56923	257569
181	57269	257395
182	57622	257255
183	57988	257164
184	58286	256773
185	58663	256729
186	58993	256480
187	59334	256276
188	59672	256055
189	60030	255918
190	60394	255807
191	60757	255688
192	61126	255591
193	61448	255296
194	61817	255197
195	62174	255043
196	62512	254809
197	62874	254672
198	63241	254554
199	63629	254517
200	64003	254420
201	64365	254276
202	64728	254130
203	65097	254008
204	65553	254220
