id,risk_flag
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,0
305,1
306,1
307,1
308,0
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,0
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,0
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,0
602,1
603,1
604,0
605,1
606,0
607,1
608,1
609,0
610,1
611,0
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,0
627,1
628,0
629,0
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,0
644,0
645,1
646,1
647,1
648,0
649,1
650,1
651,1
652,0
653,1
654,1
655,1
656,0
657,1
658,0
659,0
660,1
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,1
687,1
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,0
701,0
702,0
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,0
712,0
713,1
714,0
715,1
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,1
735,0
736,0
737,0
738,1
739,1
740,0
741,1
742,0
743,0
744,1
745,1
746,1
747,1
748,0
749,0
750,1
751,0
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,1
779,0
780,1
781,0
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,0
800,1
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,0
810,1
811,1
